City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Norfolk,55,AU,1569425354,66,-42.78,147.06,50.0,11.41
1,Isiro,100,CD,1569425356,78,2.77,27.62,78.93,3.24
2,Torbay,90,CA,1569425355,100,47.66,-52.73,50.0,17.22
3,Susanville,1,US,1569425356,76,40.42,-120.65,57.99,3.36
4,Walvis Bay,0,NA,1569425356,68,-22.95,14.51,66.2,6.93
5,Arkhara,0,RU,1569425356,75,49.42,130.09,41.13,2.53
6,Blackwater,51,GB,1569425357,68,51.33,-0.78,69.01,12.75
7,Coquimbo,90,CL,1569425357,81,-29.95,-71.34,68.0,3.36
8,Hobart,55,AU,1569425357,66,-42.88,147.33,50.0,11.41
9,Tasiilaq,75,GL,1569425357,87,65.61,-37.64,44.6,2.86
10,Busselton,95,AU,1569425358,60,-33.64,115.35,57.0,9.66
11,Geraldton,90,CA,1569425358,100,49.72,-86.95,51.8,6.93
12,Anloga,20,GH,1569425358,74,5.79,0.9,84.2,13.87
13,Aklavik,40,CA,1569425358,100,68.22,-135.01,35.6,4.12
14,East London,0,ZA,1569425359,55,-33.02,27.91,62.6,17.22
15,Khatanga,100,RU,1569425212,84,71.98,102.47,33.39,12.19
16,Xinzhou,28,CN,1569425359,39,38.41,112.73,59.49,1.92
17,Zhigansk,100,RU,1569425360,84,66.77,123.37,40.05,9.82
18,Kaitangata,86,NZ,1569425360,83,-46.28,169.85,33.93,11.27
19,Thanh Hoa,40,VN,1569425360,94,10.21,106.33,82.4,4.7
20,Rikitea,0,PF,1569425361,67,-23.12,-134.97,71.01,4.9
21,Vaini,75,IN,1569425361,94,15.34,74.49,73.4,9.17
22,Kapaa,90,US,1569425361,83,22.08,-159.32,80.6,9.17
23,Punta Arenas,20,CL,1569425362,48,-53.16,-70.91,46.4,36.91
24,Saskylakh,0,RU,1569425362,91,71.97,114.09,33.93,9.57
25,Ushuaia,75,AR,1569425362,75,-54.81,-68.31,42.8,28.86
26,Kavieng,33,PG,1569425363,75,-2.57,150.8,83.25,7.78
27,Gamba,77,CN,1569425363,33,28.28,88.52,43.47,0.29
28,Mataura,95,NZ,1569425363,83,-46.19,168.86,39.0,5.01
29,Tres Arroyos,0,AR,1569425363,40,-38.38,-60.28,71.55,6.35
30,Butaritari,0,KI,1569425364,71,3.07,172.79,84.87,19.26
31,Laguna,40,BZ,1569425364,74,16.17,-88.94,86.0,3.18
32,Qaanaaq,100,GL,1569425364,78,77.48,-69.36,20.61,6.8
33,Sinnamary,19,GF,1569425364,74,5.38,-52.96,82.35,10.13
34,Fuyang,40,CN,1569425365,64,30.05,119.96,73.4,6.71
